branch_n,bus1,bus2,p1,q1,p2,q2
38.0,201.0,203.0,-24.84,19.93,25.41,-23.83
39.0,201.0,205.0,53.61,6.34,-53.02,-6.57
40.0,202.0,204.0,31.49,19.07,-31.06,-21.05
41.0,202.0,206.0,44.74,-0.5,-43.83,-1.62
42.0,203.0,209.0,38.79,-12.08,-38.31,10.61
43.0,204.0,209.0,-42.94,6.05,43.44,-7.03
44.0,205.0,210.0,-17.98,-7.43,18.06,5.14
45.0,206.0,210.0,-92.17,-131.96,93.29,-126.64
46.0,207.0,208.0,-15.0,13.0,15.07,-14.32
47.0,208.0,209.0,-101.32,0.22,106.08,13.59
48.0,208.0,210.0,-84.75,-20.9,88.24,29.75
49.0,211.0,213.0,-218.99,-13.72,221.72,24.72
50.0,211.0,214.0,-86.65,-46.05,87.08,40.21
51.0,212.0,213.0,-152.1,-49.66,153.55,50.6
52.0,212.0,223.0,-225.45,7.35,231.38,18.84
53.0,213.0,223.0,-175.27,24.93,178.46,-19.79
54.0,214.0,216.0,-281.08,46.08,284.78,-11.45
55.0,215.0,216.0,4.47,-24.75,-4.46,20.9
56.0,215.0,221.0,-184.05,11.21,185.93,-7.13
57.0,215.0,221.0,-184.05,11.21,185.93,-7.13
58.0,215.0,224.0,187.39,31.39,-185.04,-25.53
59.0,216.0,217.0,-248.08,24.53,249.78,-15.81
60.0,216.0,219.0,22.76,25.99,-22.72,-31.05
61.0,217.0,218.0,-110.83,10.66,111.06,-12.38
62.0,217.0,222.0,-131.39,13.47,133.67,-20.73
63.0,218.0,221.0,-44.53,2.35,44.58,-7.94
64.0,218.0,221.0,-44.53,2.35,44.58,-7.94
65.0,219.0,220.0,-79.14,-2.97,79.43,-3.73
66.0,219.0,220.0,-79.14,-2.97,79.43,-3.73
67.0,220.0,223.0,-143.43,-9.27,144.0,8.39
68.0,220.0,223.0,-143.43,-9.27,144.0,8.39
69.0,221.0,222.0,-164.06,22.62,166.33,-21.11
70.0,301.0,302.0,8.64,-27.26,-8.64,-23.56
71.0,301.0,303.0,-39.85,35.57,41.39,-35.64
72.0,301.0,305.0,27.21,18.68,-26.98,-20.28
73.0,302.0,304.0,11.14,30.5,-10.79,-32.75
74.0,302.0,306.0,26.5,7.36,-26.14,-11.52
75.0,303.0,309.0,26.13,-15.28,-25.86,13.1
76.0,304.0,309.0,-63.21,17.75,64.37,-16.12
77.0,305.0,310.0,-44.02,6.28,44.45,-7.17
78.0,306.0,310.0,-109.86,-120.44,111.5,-131.33
79.0,307.0,308.0,-15.0,12.98,15.07,-14.25
80.0,308.0,309.0,-101.87,1.22,106.82,13.44
81.0,308.0,310.0,-84.2,-21.96,87.76,31.2
82.0,311.0,313.0,-199.55,-7.0,201.86,14.9
83.0,311.0,314.0,-147.78,-60.36,148.98,61.06
84.0,312.0,313.0,-134.86,-52.1,136.08,51.46
85.0,312.0,323.0,-279.89,12.86,289.31,41.86
86.0,313.0,323.0,-247.93,29.63,254.4,1.78
87.0,314.0,316.0,-342.98,66.67,348.55,-10.0
88.0,315.0,316.0,35.64,-23.03,-35.61,19.37
89.0,315.0,321.0,-207.93,13.04,210.34,-4.65
90.0,315.0,321.0,-207.93,13.04,210.34,-4.65
91.0,315.0,324.0,253.21,60.94,-248.79,-39.46
92.0,316.0,317.0,-286.69,29.76,288.98,-15.95
93.0,316.0,319.0,28.76,20.44,-28.72,-25.47
94.0,317.0,318.0,-150.01,2.34,150.42,-2.77
95.0,317.0,322.0,-138.97,13.61,141.52,-18.8
96.0,318.0,321.0,-50.17,3.06,50.24,-8.52
97.0,318.0,321.0,-50.17,3.06,50.24,-8.52
98.0,319.0,320.0,-76.14,-5.76,76.41,-1.09
99.0,319.0,320.0,-76.14,-5.76,76.41,-1.09
100.0,320.0,323.0,-140.41,-11.91,140.95,10.87
101.0,320.0,323.0,-140.41,-11.91,140.95,10.87
102.0,321.0,322.0,-166.15,23.13,168.48,-21.16
103.0,325.0,121.0,-115.62,8.45,117.12,-18.69
104.0,318.0,223.0,-28.08,-8.12,28.18,-15.15
105.0,323.0,325.0,-115.62,9.54,115.62,-8.45
