branch_n,from_bus_index,to_bus_index,from_bus_inj_p,from_bus_inj_q,to_bus_inj_p,to_bus_inj_q,loss_p,loss_q
94.0,309.0,312.0,-176.84,-11.35,177.49,38.94,0.657,27.6
95.0,310.0,311.0,-202.57,20.54,203.38,13.12,0.801,33.66
96.0,310.0,312.0,-236.13,46.75,237.25,0.29,1.12,47.04
97.0,311.0,313.0,-199.55,-7.0,201.85,14.9,2.305,18.44
98.0,311.0,314.0,-147.77,-60.36,148.97,61.06,1.204,10.11
99.0,312.0,313.0,-134.86,-52.09,136.08,51.45,1.218,9.74
100.0,312.0,323.0,-279.89,12.86,289.3,41.86,9.416,76.11
101.0,313.0,323.0,-247.93,29.63,254.4,1.78,6.471,51.18
102.0,314.0,316.0,-342.97,66.67,348.54,-10.0,5.565,65.66
103.0,315.0,316.0,35.64,-22.59,-35.61,18.93,0.031,0.27
104.0,315.0,321.0,-207.93,13.19,210.34,-4.8,2.408,19.66
105.0,315.0,321.0,-207.93,13.19,210.34,-4.8,2.408,19.66
106.0,315.0,324.0,253.23,60.97,-248.8,-39.49,4.421,32.84
107.0,316.0,317.0,-286.68,29.76,288.97,-15.95,2.288,19.83
108.0,316.0,319.0,28.75,20.44,-28.72,-25.47,0.037,0.29
109.0,317.0,318.0,-150.0,2.34,150.42,-2.77,0.41,2.87
110.0,317.0,322.0,-138.97,13.61,141.51,-18.8,2.549,19.11
111.0,318.0,321.0,-50.17,3.06,50.24,-8.52,0.069,0.6
112.0,318.0,321.0,-50.17,3.06,50.24,-8.52,0.069,0.6
113.0,319.0,320.0,-76.14,-5.76,76.41,-1.09,0.269,2.15
114.0,319.0,320.0,-76.14,-5.76,76.41,-1.09,0.269,2.15
115.0,320.0,323.0,-140.41,-11.91,140.96,10.87,0.546,4.0
116.0,320.0,323.0,-140.41,-11.91,140.96,10.87,0.546,4.0
117.0,321.0,322.0,-166.15,23.13,168.49,-21.16,2.332,17.62
118.0,325.0,121.0,-115.62,8.45,117.11,-18.69,1.499,12.12
119.0,318.0,223.0,-28.08,-8.12,28.18,-15.15,0.095,0.76
120.0,323.0,325.0,-115.62,9.54,115.62,-8.45,0.0,1.1
