bus_n,v_mag,v_ang,p_load,q_load,p_gen,q_gen
90.0,1.0420579525922011,-27.339899883136894,363.25,115.39,,
91.0,1.0270438315802053,1.914019512448692,-0.0,0.0,,
92.0,1.0211220806660715,4.754057182580291,192.9,73.3,,
93.0,1.0586600255665917,-18.730227147474785,17.52,6.3,,
94.0,1.0079649345497386,-21.573464239773262,33.14,12.0,,
95.0,0.9800082798135727,-27.069173628705403,40.45,25.0,,
96.0,1.0367483586000175,-14.955009659910381,193.17,53.37,,
97.0,1.0533314177958584,3.44527425014202,0.0,0.0,,
98.0,1.0477385427490402,-1.757955406697137,90.7,25.5,,
99.0,1.0250508949710215,-32.392776025684796,176.3,-58.9,,
100.0,1.0338625893690687,-26.767674362733025,35.94,22.3,,
101.0,0.964840660719445,-28.196561209037007,-0.0,0.0,,
102.0,1.0040081472611946,-49.722463944602204,0.0,-0.0,,
103.0,0.9920218127160115,-31.009657828079774,65.07,40.3,,
104.0,0.965338326168814,-54.5938802671529,51.36,-8.8,,
105.0,1.036702361488397,-33.690186706620764,-0.0,-0.0,,
106.0,1.1624011838078818,-19.389481118764156,0.0,-0.0,,
107.0,1.083135,42.74534592310804,0.0,0.0,570.0,-6.700628838652847
108.0,1.0051917525159664,-15.621180765314021,3.8,1.3,,
109.0,1.00485771186275,-8.309688510695759,137.0,19.5,,
110.0,0.994256364989159,-28.8519490424969,0.0,0.0,,
111.0,1.0484714082638265,-23.070547370103196,61.07,36.0,,
112.0,1.0283284080872823,-8.860794147805306,0.0,0.0,,
113.0,1.0274101670038565,-13.779731234340757,-0.0,-0.0,,
114.0,1.0265084005319076,13.374975141491458,55.7,7.9,,
115.0,1.0616209598015747,-19.161975175926564,0.0,-0.0,,
116.0,1.03875731327477,-20.1275317332186,1.8,0.7,,
117.0,1.0024560262261721,-22.046262657128658,40.04,16.0,,
118.0,1.023922026515621,-11.081732317398547,-0.0,0.0,,
119.0,1.0666232388334673,-18.034632869846913,0.0,0.0,,
120.0,1.017688159924512,-20.91844345744085,140.6,20.1,,
121.0,1.0616835473761759,-22.82460591278089,45.15,14.1,,
122.0,1.0026587331758323,9.565415836048771,-0.0,0.0,,
123.0,1.041503,-20.078705468647374,0.0,0.0,24.9,19.84473656188114
124.0,1.077112,8.571091008184666,0.0,0.0,861.3,69.26925780404545
125.0,1.0222818122696462,-17.66723998684258,3.42,2.68,,
126.0,1.009839230565484,7.232191239281165,0.0,-0.0,,
127.0,1.0217564990995442,-27.633901648880435,-0.0,-0.0,,
128.0,1.015200171547069,-15.381092829734126,23.73,12.7,,
129.0,1.0192688290366827,-11.3687514103565,121.9,7.4,,
130.0,1.057950497801386,-47.026783343539975,-0.0,0.0,,
131.0,1.0325190885756397,-37.174570661407316,47.35,16.4,,
132.0,1.0624074641261327,-43.65694223382465,0.0,-0.0,,
133.0,1.0214451416292183,2.5432590828571775,38.14,12.5,,
134.0,1.0129316354130493,9.779623056586997,54.2,7.8,,
135.0,1.0219746859789016,-21.07971352402652,130.6,84.9,,
136.0,1.0064854562142724,-33.53450638202907,7.91,2.6,,
137.0,1.0030640159514426,62.384354834478316,42.1,74.61,,
138.0,1.0674720182997413,-41.67447959629548,-75.38,7.8,,
139.0,1.0130345331349362,18.139440983603453,-0.0,-0.0,,
140.0,1.0262842521032018,18.702180183827558,0.0,0.0,,
141.0,1.0507160000000006,-0.39009024611789583,0.0,0.0,-73.2,9.94338244286739
142.0,1.042299,-30.116607019440398,0.0,0.0,158.7,3.496576140534394
143.0,1.0223454314449,5.278339976859456,0.0,0.0,,
144.0,1.0638627644907839,20.13724733271394,0.0,0.0,,
145.0,1.0382362236073714,-8.8520934181739,38.34,5.6,,
146.0,1.0856405572658303,-23.39491511105042,269.6,65.7,,
147.0,1.058041,-12.42236755324556,0.0,0.0,-16.0,15.811202788094597
148.0,1.034624793672312,-7.912839049348067,32.34,12.0,,
149.0,1.021683892144628,-40.12747484109431,100.1,45.1,,
150.0,1.062129,2.6444526862025146,0.0,0.0,67.29,0.7325306589237037
151.0,1.013748,-20.490071271219254,0.0,0.0,-110.35,-6.739956112236946
152.0,1.050331925613443,-2.229278686731443,7.0,1.0,,
153.0,1.0137778648971982,-29.2664874294566,-0.0,0.0,,
154.0,1.0167349292779977,-37.062060880724765,0.0,0.0,,
155.0,1.0198324833957804,-26.70832709147043,-0.0,-0.0,,
156.0,0.9530906549907759,-28.6333604435584,40.34,25.0,,
157.0,1.0146571018645982,-10.831662262550374,9.21,3.3,,
158.0,1.0150374186682545,8.003791445829426,166.0,60.3,,
159.0,1.0213361012183082,-26.5114452919884,0.0,-0.0,,
160.0,1.0310139131695057,4.402944727807968,79.4,11.3,,
161.0,1.0910026364709398,-24.726718021650527,-0.0,-0.0,,
162.0,1.0523113394717012,-14.811843965870727,0.0,0.0,,
163.0,1.0454549562152116,-10.119085008512554,147.76,32.73,,
164.0,1.0208396545435978,0.09303001354247199,0.0,-0.0,,
165.0,1.0731587476892912,-20.88461424170597,26.8,-3.7,,
166.0,1.0407470000000003,13.480464211732476,0.0,0.0,292.2,109.40457955811192
167.0,1.0397770243163476,-3.4275997660453354,257.5,131.1,,
168.0,1.0331765863045368,15.63808953018688,16.7,2.4,,
169.0,1.0455307328527694,-26.256837999229074,0.0,0.0,,
170.0,1.0114508145628003,36.65064394567461,-0.0,-0.0,,
171.0,1.0619694077837547,-24.847284325853742,100.8,13.2,,
172.0,1.010113464738335,-46.948027085192926,111.7,10.96,,
173.0,1.054700535982558,16.191350322108743,90.38,-5.05,,
174.0,1.0708948639844877,-27.462652537451913,370.5,-17.0,,
175.0,1.0037917264902356,-38.29426816862052,9.91,3.2,,
176.0,1.04084508069034,-25.360767321861687,-0.69,-5.46,,
177.0,0.9697652040835076,-43.03634483259409,94.9,36.2,,
178.0,1.0132121451152225,-27.16795431011418,81.09,48.0,,
179.0,1.043661,-49.64532621615303,0.0,0.0,-179.2,113.00693857252472
180.0,1.0295318050037148,-25.44137240624426,0.0,0.0,,
181.0,1.0405869966857662,-36.38369667126834,54.96,16.9,,
182.0,1.0355611204577886,40.2047713437322,19.32,26.0,,
183.0,1.0314651124066512,-25.986343392816647,0.0,0.0,,
184.0,1.037536322335216,-11.19277462179409,-0.0,-0.0,,
185.0,1.007994998709765,-3.6389971432619093,20.9,3.0,,
186.0,1.0096454422927934,-27.746898262595387,19.92,6.6,,
187.0,1.0024726271158544,-35.64350848655136,57.16,2.0,,
188.0,1.0152180365786805,-19.119945927606143,36.84,13.9,,
189.0,1.0012297240846049,-25.481080602489968,-15.04,-5.12,,
190.0,1.025544,-18.87416276093264,0.0,0.0,90.69,31.403413358350004
191.0,1.0162219364731975,-35.69253793795584,0.0,-0.0,,
192.0,1.048355,66.70711561209566,0.0,0.0,135.8,13.014714446370082
193.0,1.0313322269538134,25.526512327123882,119.9,3.7,,
194.0,1.0293100000000002,13.718454658298478,0.0,0.0,268.6,42.29113379214826
195.0,1.0489115793706325,-8.494941696338536,73.14,21.55,,
196.0,1.0688483458444769,-25.758717470451202,0.0,-0.0,,
197.0,1.099985,46.045345102671696,0.0,0.0,292.2,69.04588241460922
198.0,1.0112864731697717,-15.64815613010402,39.74,11.8,,
199.0,1.017685185708152,1.1768350135331886,86.8,28.4,,
200.0,1.0109772231439988,62.26259640969883,22.42,2.1,,
201.0,1.0191399999999997,-51.122809449857904,0.0,0.0,5.2,4.276199109287231
202.0,1.0287741999767062,0.4802918795014735,110.9,32.7,,
203.0,1.0348546568157178,16.813967792729404,18.2,2.6,,
204.0,1.0546890174304464,-21.268093087824976,-0.0,-0.0,,
205.0,1.017882075278857,5.862073482643748,46.15,18.2,,
206.0,1.0625602076056704,-18.76580153252339,34.04,12.3,,
207.0,1.0213814758917923,-12.763442951391768,321.98,84.4,,
208.0,1.0462724792558042,-28.33920715618684,33.44,10.0,,
209.0,1.026832,-33.5560790560558,0.0,0.0,25.4,10.055970792369061
210.0,0.9597988047539406,-34.15308786333127,0.0,0.0,,
211.0,1.0298038043404172,14.450932500574776,75.28,19.2,,
212.0,1.026848488979652,-3.56578745373109,95.69,24.54,,
213.0,1.008493410835794,-32.27989568647631,37.34,10.9,,
214.0,1.079765,14.896810817608207,0.0,0.0,-175.2,87.8388917872433
215.0,1.0022652633528082,-25.318429730886002,-0.0,0.0,,
216.0,1.0369324347015547,-24.037358538899507,155.6,54.7,,
217.0,1.0323685293090274,-2.0724301252157544,105.2,0.1,,
218.0,1.0483307566301694,-12.461723452752654,69.83,15.12,,
219.0,1.0566229999999999,-15.15159208201714,0.0,0.0,1171.0,610.0123774398483
220.0,1.0471160000000004,-14.390152928443744,0.0,0.0,668.7,-114.9680453425589
221.0,1.0306360000000003,-19.40333483213952,0.0,0.0,296.0,33.057591688713345
222.0,1.030494,65.28492870971307,0.0,0.0,-147.3,7.246817058199189
223.0,1.0294597074654983,-18.74368614326402,27.03,8.8,,
224.0,0.9994929694209236,-17.40795083052335,2.6,0.5,,
225.0,1.0585677225278958,-19.556336287041166,0.0,0.0,,
226.0,1.025697105297118,-31.26447352825862,14.62,4.8,,
227.0,1.037070523533637,-20.677866000839806,-0.0,0.0,,
228.0,1.0397605699632413,-6.6211329382417805,-23.43,57.4,,
229.0,1.0430154187172966,-26.220203453611617,426.6,93.7,,
230.0,1.0049375257352942,-46.67843855792616,152.07,22.52,,
231.0,1.012904736100768,24.249071123667008,-0.13,-1.0,,
232.0,1.0126946717052494,-20.997550984311253,0.0,0.0,,
233.0,0.9510053052830427,-28.105363378479645,2.5,3.8,,
234.0,1.011539362254596,-21.083292195565974,16.7,2.4,,
235.0,0.988720753971667,-38.72406496061023,34.04,4.4,,
236.0,1.0235534909518373,-53.969115817500416,45.85,7.0,,
237.0,1.0317189999856946,39.2130705929345,0.0,-0.0,,
238.0,1.042719025510529,-47.34890379899575,0.0,-0.0,,
239.0,1.018711,-23.707137135208622,0.0,0.0,-7.05,24.089778914354376
240.0,1.024088699226329,-27.337326471758676,0.0,0.0,,
241.0,1.0356572767351746,59.68546133513092,-0.0,0.0,,
242.0,1.0346614987732532,-1.9279209878202934,167.9,18.2,,
243.0,1.017393134260733,17.722584896285678,0.0,-0.01,,
244.0,1.0183603548579732,5.894825525863721,-0.0,-0.0,,
245.0,1.011082112003167,-27.605995111461812,16.62,5.5,,
246.0,1.0668500000000003,-20.50679927535719,0.0,0.0,307.1,-7.27562285087393
247.0,0.9881282478579861,-21.49240146213876,0.0,0.0,,
248.0,1.0439910000000001,13.03236862565526,0.0,0.0,-172.0,104.4913342819691
249.0,1.0024274027613889,-42.67474221757111,-0.0,-0.0,,
250.0,1.0523166061635014,10.67988341085754,0.0,0.0,,
251.0,1.0148179971195816,12.671514708916968,118.4,16.9,,
252.0,1.0421518254661093,47.19590796796902,-0.0,0.0,,
253.0,1.02926059856887,-20.360630790203302,0.0,-0.0,,
254.0,1.0676153961524815,-25.237611416843418,-0.0,-0.0,,
255.0,1.059597,-13.402123601766487,0.0,0.0,423.2,-31.084681138932936
256.0,1.0360259468443713,-35.54472673404591,0.0,-0.0,,
257.0,1.0270971885291373,-45.97546242379357,113.9,24.5,,
258.0,1.0355008903348883,-21.116975021717426,88.0,12.6,,
259.0,1.014985019894635,-29.277991982789437,42.67,12.11,,
260.0,1.023966368888047,-11.097452231586331,216.8,40.5,,
261.0,1.0526683738007476,-45.49289838453566,-0.0,0.0,,
262.0,1.0337949999999998,10.881355310131932,0.0,0.0,-115.4,35.296074259249345
263.0,1.0286810000000002,3.645999265344479,0.0,0.0,-34.4,0.12805541104483886
264.0,1.0104473028367047,-46.727875653431326,38.74,9.0,,
265.0,1.0538925682202394,-25.125402815915884,350.4,29.3,,
266.0,1.0556116735537584,-42.17932694656008,0.0,-0.0,,
267.0,1.0089681190329844,-51.378933544895204,103.8,2.7,,
268.0,1.0405310096522302,27.664503054590476,-0.13,-1.0,,
269.0,1.0163261691097631,-37.96802165601678,0.0,-0.0,,
270.0,1.0383822773095215,67.2152060486186,-0.0,0.0,,
271.0,1.034198694406679,-7.009858566866348,96.7,26.8,,
272.0,1.050999602267684,-28.479360485418496,0.0,0.0,,
273.0,1.0550237053267082,-24.636349738053298,-0.0,-0.0,,
274.0,1.0161930675059885,-24.822182870861294,19.02,6.0,,
275.0,1.0149629167018004,2.047244626468662,102.1,25.3,,
276.0,1.0461508002375073,64.31092979207428,-0.0,0.0,,
277.0,1.0171708212760517,-25.726228234604143,0.0,0.0,,
278.0,1.014153,-26.882699836872614,0.0,0.0,-64.1,9.324137337390592
279.0,1.0015918867906102,-23.369934294383324,8.31,3.0,,
280.0,1.0315798808836625,-10.799262696305329,119.6,29.6,,
281.0,1.0348253360805562,13.938286693905768,-0.0,-0.0,,
282.0,1.0776049999999995,-10.077308446337087,0.0,0.0,1245.7,-185.45767983966817
283.0,1.0302292150660115,-11.434020636906366,27.33,11.9,,
284.0,1.0212586628784954,-48.60121186034669,191.2,-3.4,,
285.0,1.033022435087675,67.08010409406143,0.0,0.0,,
286.0,1.0169200129102132,7.695120400142572,101.6,14.5,,
287.0,1.0585084506889713,-14.122459493526675,177.1,66.9,,
288.0,1.0646891524413642,-17.944680782125292,0.0,0.0,,
289.0,1.046783,-30.250462651703035,0.0,0.0,52.7,-3.678256585415193
290.0,1.026893379981508,-19.376824076220057,53.46,18.7,,
291.0,1.03789993451355,5.047810244238345,0.0,-0.0,,
292.0,1.0448448295634198,-14.451022783388664,13.82,1.4,,
293.0,1.0719202264319856,-19.21082472319626,85.1,67.0,,
294.0,1.003375,-0.11111335697613559,0.0,0.0,250.0,25.742768932893348
295.0,1.0192112743585322,-28.020468283048277,0.0,0.0,,
296.0,0.9934485387106823,27.524839948042093,189.3,76.7,,
297.0,1.0323397813029074,5.331944730173983,23.73,9.4,,
298.0,1.04116428512445,-28.345602071115717,10.01,-21.0,,
299.0,1.039248,-46.058930153333556,0.0,0.0,975.9,101.65970613737642
300.0,1.0190844683738163,-19.389118164026687,0.0,0.0,,
301.0,1.0167260818731298,-21.78548386930056,-14.85,-4.95,,
302.0,1.0246234432101484,11.312547508766823,20.9,3.0,,
303.0,1.0085506908149688,-26.124922572499337,431.7,121.6,,
304.0,0.9895395836905261,-54.1875613662218,2.2,0.5,,
305.0,1.0651449013923031,-32.24147508872573,103.0,12.0,,
306.0,1.0247326979848006,-18.157366673309525,-0.0,0.0,,
307.0,1.0782299017617052,-21.795304041823595,0.0,0.0,,
308.0,0.8584739246162694,-36.0203459302231,0.0,0.0,,
309.0,0.989085,14.050094403687092,0.0,0.0,95.1,38.77271995835076
310.0,1.155322,-18.166551566515857,0.0,0.0,346.18,662.1875729962198
311.0,1.0188884359339552,-0.46125373355050403,42.05,17.2,,
312.0,1.0639908381210983,12.331635645869254,-0.16,-2.91,,
313.0,1.0252590000000001,9.689683641734524,0.0,0.0,9.6,-1.6498922502613
314.0,0.9991722541788183,-15.521072655774029,163.1,46.3,,
315.0,1.0242822738643576,-36.199250863489844,-0.0,-0.0,,
316.0,1.0377047251080551,-4.137421376099404,0.0,-0.0,,
317.0,1.0173752844197717,4.7394557434433136,-0.0,-0.0,,
318.0,0.9951344699543659,-27.97430316810861,-0.0,-0.0,,
319.0,1.0188971252989718,-18.782256402513784,153.3,21.8,,
320.0,1.013336,12.324999167840703,0.0,0.0,1760.0,-209.9819864091436
321.0,1.0471076815167002,64.08495311882193,67.17,-23.9,,
322.0,0.9602829361112097,-44.57595666593994,303.8,85.4,,
323.0,1.0215361273958894,7.847380868353768,-0.0,-0.0,,
324.0,1.0632849999999998,53.104745609341414,0.0,0.0,94.0,40.16461748920016
325.0,1.0096249999999996,0.0876550004568665,0.0,0.0,-21.4,5.648960056230669
326.0,1.0406433226131013,27.71233903869143,0.0,0.0,,
327.0,1.0217155012617205,-11.803770469611964,0.0,0.0,,
328.0,1.017618,25.198087905009633,0.0,0.0,-77.9,14.428003377520156
329.0,1.0195903983195962,-26.404011321521775,24.23,7.1,,
330.0,1.0536974958352883,11.294318860432242,108.6,2.6,,
331.0,0.9747106104741013,-28.622939103798835,4.0,2.4,,
332.0,1.0325096009125396,-23.33001174823629,30.03,10.9,,
333.0,1.0093638895897887,-41.941787715595304,524.5,43.0,,
334.0,1.0215544705212525,-4.50911861195491,129.9,18.5,,
335.0,0.9562463717110993,-28.816031868207588,-0.0,0.0,,
336.0,1.0079454767591047,-17.880044914518972,4.4,0.0,,
337.0,1.0744353021270425,-18.2439200650305,9.22,1.2,,
338.0,1.0469569999999995,-6.042397991528534,0.0,0.0,83.7,3.4436527984830434
339.0,1.0341253665703036,-34.03304287831839,-0.0,0.0,,
340.0,1.0664831940726114,-20.24602888747002,186.6,56.6,,
341.0,1.0171560454156068,-26.529172507906857,-0.0,-0.0,,
342.0,1.0085999580731473,-31.685619965666742,35.41,20.3,,
343.0,1.0438509153508762,-19.979832492107082,3.2,1.2,,
344.0,1.0283930441303288,-0.7186779681325156,372.8,147.5,,
345.0,1.0368244756962885,-30.20203910726408,0.0,0.0,,
346.0,1.0375959078480046,-20.724890288513418,197.5,48.3,,
347.0,1.0209489999999997,-0.8547140015031762,0.0,0.0,50.8,-13.241294402178447
348.0,1.057894,-24.264362224366483,0.0,0.0,160.4,3.3860526882752993
349.0,1.0466585299998028,9.237964951572348,-0.0,0.0,,
350.0,1.0386588971469521,-23.724667218517286,110.4,26.2,,
351.0,1.024651944091686,19.459566333662472,-0.15,-1.93,,
352.0,1.0488350000000004,1.1455975557054103,0.0,0.0,1250.4,269.78084958095025
353.0,1.0534119624713305,-26.810865148674477,-0.0,-0.0,,
354.0,1.0474005511204305,-15.595485526100099,-0.0,0.0,,
355.0,0.9947956207244963,-22.62767040300784,-4.86,-2.15,,
356.0,1.0470512336716487,-17.224541094860726,141.1,2.1,,
357.0,1.014076888373198,-29.604091136974503,52.96,32.8,,
358.0,1.0328598679491858,12.087644021088048,13.9,1.9,,
359.0,1.0431116353365506,-13.308788624646331,0.0,0.0,,
360.0,1.0571329328908372,12.049307009277609,35.54,11.5,,
361.0,1.0594900000000003,17.91943175191218,0.0,0.0,238.3,53.078280508413556
362.0,1.0127124643694656,62.52173985212436,48.92,14.52,,
363.0,1.0849192236115752,-33.65964105564111,-0.0,0.0,,
364.0,1.0092357450289184,-35.582850751774465,10.01,4.0,,
365.0,1.0114155270068472,-19.56530108072257,0.0,-0.0,,
366.0,1.0088530000000004,-2.763745422766452,0.0,0.0,185.6,66.19649711559619
367.0,1.0659000787490378,-23.009638700258908,65.17,-51.5,,
368.0,1.0169876712885881,-32.28153996691611,-0.0,0.0,,
369.0,1.0463630692635386,14.324538669415418,-0.0,0.0,,
370.0,1.016227075971834,-0.6468907662685104,56.76,23.2,,
371.0,1.0406097690552287,-17.10083080104113,0.0,0.0,,
372.0,1.0749910000000005,10.161409840485462,0.0,0.0,-54.9,67.97712017216189
373.0,0.9774977155483435,-27.12476247296524,-0.0,0.0,,
374.0,1.0350252877714694,-21.305324311858477,-0.0,-0.0,,
375.0,1.0135258109288794,53.14654714652334,-0.0,0.0,,
376.0,1.0309853080990004,-31.92492052599746,0.01,0.0,,
377.0,1.0215409566812623,11.060206883671732,-0.18,-1.0,,
378.0,1.017302155993747,-6.332027376255246,221.35,51.8,,
379.0,0.9956037623866674,-28.810108165004362,23.83,7.9,,
380.0,1.0012589397728549,-32.982707457411145,-95.71,-2.8,,
381.0,0.9496044991930702,-33.61101551656752,44.05,0.0,,
382.0,1.060853,-22.611688170217523,0.0,0.0,25.68,21.973242167261127
383.0,0.9912327933441183,-27.548837188815934,19.02,11.5,,
384.0,1.0063341549263751,-26.75515023666951,0.0,-0.0,,
385.0,1.0397826647708686,-49.532810732532894,-0.0,-0.0,,
386.0,1.0647548448983069,22.166290555368693,0.0,-0.0,,
387.0,1.0436261973862666,7.353728956706241,-0.19,-4.38,,
388.0,0.9885397098688601,8.250272294945711,0.0,-0.0,,
389.0,1.0177309999999997,-40.99352277339134,0.0,0.0,69.0,17.91590314494182
390.0,1.0712683579324076,-17.210915461810966,27.93,10.1,,
391.0,0.979306574102373,-23.88515194071357,34.94,21.6,,
392.0,1.0117212677515544,-0.34463446878177695,134.1,34.2,,
393.0,1.062149940411211,-24.22980478028483,17.72,5.9,,
394.0,1.063147,43.0837153596934,0.0,0.0,2404.4,-8.93666443446648
395.0,1.0332949270429765,15.237214800902004,-0.0,-0.0,,
396.0,0.9029033146137059,-32.70341318014191,0.0,0.0,,
397.0,1.0343458415657676,-12.835988193831296,77.79,-40.8,,
398.0,0.9772415616041932,-18.969246955368867,11.91,3.8,,
399.0,1.013865786699159,-35.251426336916204,5.01,2.0,,
400.0,1.0076949943400682,-27.845082524462306,-19.66,-10.83,,
401.0,1.034970408750548,-14.079812784678948,56.5,36.29,,
402.0,1.00837499301864,-35.23943698083973,-0.0,-0.0,,
403.0,1.0616850086154512,-26.461094447305683,-0.0,-0.0,,
404.0,1.0143900584767898,-24.041800891015455,3.81,0.24,,
405.0,1.0174237549950544,-45.83062895797258,254.7,79.4,,
406.0,1.012399,-33.28646148610202,0.0,0.0,31.0,11.719113663993689
407.0,1.007216465010258,11.387699975267003,69.5,9.9,,
408.0,1.0351494802866663,-10.932379515617429,129.1,7.4,,
409.0,1.032831,-2.842649321966078,0.0,0.0,-62.0,-4.585068499866779
410.0,1.031503120414554,-26.533009756021965,170.89,50.38,,
411.0,1.03248,-35.686165177699095,0.0,0.0,35.9,5.84954194923383
412.0,1.0226849253737762,17.247456584825535,26.4,3.8,,
413.0,1.048421,-5.85016856783742,0.0,0.0,231.0,28.558432151851918
414.0,1.0176931713207564,-28.9172672408385,20.52,10.3,,
415.0,1.0241222111730839,-51.94445479693011,4.71,0.7,,
416.0,1.0450120910842167,-6.120088254811828,70.68,13.5,,
417.0,1.0216211604448175,-10.814564662743182,187.19,1.8,,
418.0,1.0301745758315368,-24.47706060103621,24.43,8.7,,
419.0,0.9930065932343753,-20.517546619987506,8.81,3.2,,
